topic_id	ArTest_topic_id	query_1	query_2	query_3	query_4	query_5	query_6	query_7	query_8
01	01	شنو تأثير الزواج المبكر على المجتمع؟	عطني مشاكل ومزايا الزواج المبكر على المجتمع	أبّي أمثلة صجية لسلبيات وإيجابيات الزواج المبكر	يعتبر الزواج المبكر سلبي أم إيجابي من كل النواحي؟				
02	07	أكلات إيطالية ترند هالفترة مع طريقة إعدادها	أفكار لعشا أو غدا إيطالي وطريقة التحضير	وصفات أكلات إيطالية متنوعة مع المقادير والطريقة	شلون أجهز عزيمة عشا أو غدا إيطالية، أبي أطباق متنوعة	وصفات إيطالية نفس اللي يسوّونها بإيطاليا	وصفات أكل نفس مطاعم إيطاليا الصجيّة		
03	30	شنو أنواع الكارديو؟	اشرح لي الكارديو شنو هو وشنو أنواعه	شنو التمارين الهوائية وأنواعها	أبي أفهم أنواع الكارديو مع أمثلة	عطني أمثلة على كل نوع كارديو	عطني لستة تمارين كارديو، اللي بالبيت واللي بالنادي	عطني شرح لكل نوع الكارديو، مثال، وفايدته، وحق من يناسب بالضبط	
04	32	شنو أضرار كثرة القهوة؟	وش العلامات السلبية الصحة لو كثّرت قهوة؟	شنو يصير لو كثّرت قهوة كل يوم؟	لو شربت قهوة وايد، شنو ممكن يصير بالضبط	شنو اهي أضرار القهوة مع الوقت؟			
05	34	فيه حياة بالمريخ والا لا؟	في شي يثبت إن الناس يقدرون يعيشون فالمريخ؟	نقدر نعيش فالمريخ؟	شنو الدليل على الحياة فالمريخ؟ مقالات علمية مب فلسفة وخرابيط	إذا بنعيش فالمريخ، في ماي وموارد تكفي ولا لا؟	اشسالفة الحياة بالمريخ؟	في نت فالمريخ؟	
06	37	المحاصيل المعدلة وراثيا نقدر نكلها عادي ولا لا؟	اشكثر يضر الأكل المعدل وراثيا بالصحة	شنو أضرار أو مخاطر الزرع المعدل وراثيا علينا وعلى البيئة؟	المحاصيل المعدلة وراثيًا تخرب البيئة وتضعها وشلون؟	دراسات عن أمان وضرر التعديل الوراثي للأكل والبشر والبيئة			
07	38	شنو أسباب هشاشة العظام؟	شنو العوامل اللي تسبب هشاشة العظام؟	ليش تضعف كثافة العظم مع الوقت؟	أسباب هشاشة العظام عند الحريم بعد سن اليأس	شلون نقي نفسنا من هشاشة العظام	شلون نعرف إن احنا مصابين بهشاشة العظام	شنو الممارسات اليومية والعادات التي تخلينا نصاب بهشاشة العظام	
08	40	شنو يعني الذكاء الاجتماعي؟	شلون أفهم الذكاء الاجتماعي	بسط لي مفهوم الذكاء العاطفي بأمثلة واقعية	شالفرق بين الذكاء الاجتماعي والعاطفي؟				
09	46	أضرار وفوايد الألعاب الإلكترونية على اليهال	أضرار وفوايد الألعاب الإلكترونية على البزران	شنو تأثير الألعاب الإلكترونية على نفسية اليهال وصحتهم؟	وشو تأثير الألعاب الإلكترونية على نفسية البزران وصحتهم؟	دراسات وتجارب على تأثير الألعاب على تصرفات الياهل ومزاجه وصحته	دراسات وتجارب على تأثير الألعاب على البزر ومزاجه وصحته	شلون نخفف ضرر الألعاب على اليهال	كيف نخفف ضرر الألعاب على البزران
10	47	شنو أثر هوس الماركات على المجتمع العربي؟	ليش صاروا الناس يتفاخرون بالماركات؟ واشكثز الناس فاهمة الوضع الحالي؟	دراسات وتقارير وعي المجتمعات بهوس الماركات وآثارها	تجارب وآراء الناس عن هوس الماركات				
