topic_id	ArTest_topic_id	query_1	query_2	query_3
01	01	ايش عوامل نجاح الزواج المبكر	أسباب نجاح الزواج المبكر	ايجابيات وسلبيات الزواج بدري
02	07	أكلات إيطالية	وصفات إيطالية طعمة	طبخات وحلويات إيطالية
03	30	أنواع الكارديو	انواع الكارديو المنتظم والهيت	كم نوع للكارديو
04	32	القهوة الكثير تضر؟	ضرر كثرة القهوة	ايش ضرر القهوة لو شربتها بكثرة
05	34	فيه حياة على المريخ؟ دراسات نظريات	ممكن نعيش على المريخ أبحاث	أدلة على أنه الحياة ممكنة على المريخ
06	37	ايش أضرار التعديل الوراثي	هل ممكن الأكل المعدل وراثيا يضر الإنسان والبيئة	أمان الأكل المعدل وراثياً
07	38	ليش بتجينا هشاشة عظام	أسباب الهشاشة	ليش هشاشة العظام منتشرة
08	40	ايش هو الذكاء الاجتماعي	الذكاء الاجتماعي	ايش يعني الذكاء الاجتماعي
09	46	ضرر البلايستيشين على الأولاد	فوائد وأضرار السوني على الأطفال	فوائد وسلبيات الألعاب الإلكترونية
10	47	تأثير الهوس بالبراندات على المجتمع	التفاخر بالماركات تأثيره على المجتمع	كيف بيأثر هوس الماركات على المجتمع
