topic_id	ArTest_topic_id	query_1	query_2	query_3	query_4	query_5	query_6
01	01	واش هي الفوائد تاع الزواج بكري للصحة؟	السلبيات تاع الزواج بكري	الفوائد تاع الزواج بكري	المشاكل تاع الزواج في عمر صغير	تأثير الزواج بكري على المستقبل تاع الشباب	الزواج في عمر صغير السلبيات و الايجابيات
02	07	عجينة البيتزا الطليانية	وصفة اللازانيا طريقة المطاعم الطليانية	وصفة تيراميسو طلياني	أطباق طليانية سهلة وسريعة	لاصوص تاع البيتزا على الطريقة الطليانية	وصفة الريسوتو الطلياني
03	30	أمثلة على تمارين الكارديو	أمثلة على رياضة الكارديو	أنواع رياضة الكارديو	الأنواع تاع الكارديو	الأنواع تاع الرياضات الهوائية	
04	32	الآثار السلبية تاع القهوة كي نكثروا منها	أضرار القهوة كي نشربوها بزاف	كفاش القهوة كي نكثرو منها تضر الصحة؟	كفاش القهوة بزاف تضر الصحة؟	علاش مالازمش نشربو القهوة بزاف؟	علاش مالازمش نكثرو من القهوة؟
05	34	علاش نقدرو نعيشو في المريخ؟	علاش يقدر بنادم يعيش في المريخ؟	واش هي الحاجات اللي تخلي المريخ صالح للسكن؟	دلائل على الحياة في المريخ لقاوهم رواد الفضاء	الدراسات اللي تبين بلي نقدرو نعيشو في المريخ	
06	37	مخاطر المحاصيل المعدلة وراثيا على صحة بنادم	الخضرة و الفاكية اللي معدلينها وراثية صحية و لا لا؟	النتائج تاع الدراسات العلمية على تأثير الماكلة المعدلة وراثيا على صحة بنادم			
07	38	واش هما الحوايج اللي يسببو هشاشة العظام؟	علاش يمرض بنادم بهشاشة العظام؟	العناصر الغذائية اللي كي تنقص في الماكلة تدير هشاشة العظام	علاش النسا يمرضو بهشاشة العظام؟	واش هما الأسباب تاع هشاشة العظام؟	
08	40	واش هو الذكاء الاجتماعي؟	واش هو تعريف الذكاء الاجتماعي؟	واش المقصود بالذكاء الاجتماعي؟			
09	46	الفوائد والأضرار تاع الألعاب الإلكترونية على الدراري الصغار	كفاش تأثر الألعاب الإلكترونية على قراية الدراري الصغار	السلبيات والايجابيات تاع الألعاب الإلكترونية على الدراري الصغار	تجارب علمية تبين كفاش تأثر الألعاب الإلكترونية على الدراري الصغار	كفاش تأثر الألعاب الإلكترونية على النفسية تاع الدراري الصغار	
10	47	علاش العرب ولاو مراض بالماركات؟	علاش المراهقين والشباب هوما أكثر ناس ميتيين على لبس الماركات؟	كفاش أثرالهوس تاع الماركات على العقلية تاع الشباب؟	واش هو التأثير تاع الماركات على النفسية تاع الشباب؟		
