topic_id	ArTest_topic_id	query_1	query_2	query_3	query_4	query_5	query_6	query_7	query_8	query_9	query_10	query_11	query_12	query_13	query_14	query_15	query_16	query_17	query_18	query_19	query_20	query_21	query_22	query_23	query_24	query_25	query_26	query_27	query_28	query_29	query_30	query_31	query_32	query_33	query_34	query_35	query_36
01	01	إيجابيات الزواج المبكر من الناحية الصحية	ما سلبيات وإيجابيات الزواج المبكر على المجتمع؟	أثر الزواج المبكر على الشباب والفتيات	هل هناك تأثير للزواج المبكر على الشباب والفتيات؟	هل الزواج المبكر سيء أم جيد؟	ما هو تأثير الزواج المبكر على الشباب و الفتيات؟	هل يؤثر الزواج المبكر على نفسية الفتاة؟	ما هو تأثير الزواج المبكر على الشباب والفتيات نفسيا واجتماعيا وصحيا وماديا؟	إيجابيات الزواج المبكر من الناحية الاجتماعية	ما هي عواقب الزواج المبكر للفتيات والشباب	ماذا يترتب عن الزواج في عمر صغير	ما هي ايجابيات الزواج المبكر للشباب والفتيات؟	متى مدى تقبل المجتمع للزواج المبكر؟	هل هناك نتائج سلبية للزواج المبكر؟	ما هي أهم الجوانب الإيجابية للزواج المبكر؟	ما هي إيجابيات وسلبيات الزواج المبكر؟	سلبيات الزواج المبكر من الناحية الصحية	كيف يؤثر الزواج المبكر للفتيات والشباب من جميع نواحي الحياة	عوامل نجاح الزواج المبكر	ما هي سلبيات لزواج المبكر للشباب والفتيات؟	اريد سماع قصص ناجحة عن الزواج المبكر؟	ما هي مشاكل الزواج المبكر على الرجل والمرأة؟	هل تزيد إيجابيات الزواج المبكر إذا كان عن حب؟	ما هي العوامل المؤثرة في الزواج المبكر؟	سلبيات الزواج المبكر من الناحية الاجتماعية	أعطني أمثلة لتأثير الزواج المبكر على المجتمع من جميع الزوايا	هل ينصح بالزواج المبكر	متى يعتبر الزواج مبكرا وهل يختلف حسب المدينة او الدولة؟	هل يوثر الزواج المبكر سلبا على المتزوجين؟	ما هي نسبة الزواج المبكر في الحضر مقارنة بالريف؟	أضرار الزواج في عمر مبكر	هل الزواج المبكر سلبي أم إيجابي؟	هل يوثر الزواج المبكر على مستقبل المتزوجين؟	هل الزواج المبكر مرتبط بالمستوى الاجتماعي والمادي والتعليم؟	فوائد الزواج في عمر مبكر	نماذج جيدة وسيئة للزواج المبكر
02	07	طريقة تحضير البيتزا الايطالية	قائمة لوجبات إيطالية وطريقة تحضيرها	وصفات من المطبخ الإيطالي	أريد وصفات طبخ لأكلات ايطالية او حلويات مع طريقة التحضير والمقادير وصور	كيف يمكن تحضير حلويات ايطالية؟	وصفات طبخ إيطالية	ما هي أشهر الحلويات في المطبخ الإيطالي؟	مقادير وصفة التيراميسو الايطالي	وصفات أصيلة من المطبخ الإيطالي	وصفات إيطالية لذيذة	وصفات طبخ من المطبخ الايطالي حلو أو مالح مع طريقة التحضير والمقادير وصور	ما هي وصفات اشهر الطبخات ايطالية كطبق رئيسي؟	كيفية تحضير المعكرونة الإيطالية بصلصة الطماطم	طريقة عمل حلويات إيطالية	كيفية تحضير اللازانيا الايطالية	أطباق إيطالية تقليدية مع وصفاتها	أطباق إيطالية	وصفات طبيخ لأشهر المأكولات والحلويات الايطالية مع طريقة التحضير والمقادير وصور	موقع لطبخات إيطالية مع الصور والخطوات	كيفية تحضير وجبات إيطالية	قائمة بأهم الاكلات في المطبخ الإيطالي	وصفات من المطبخ الايطالي	أطباق إيطالية رئيسية أو جانبية	افضل موقع لتعلم الطبخات الايطالية بالصوت والصورة	وصفات لأشهر الأكلات الايطالية	وصفات إيطالية رائجة مع طريقة إعدادها	طريقة تحضير الريسوتو الايطالي	أصناف إيطالية للأطباق الرئيسة والجانبية	دليل الوجبات الإيطالية وطرق تحضيرها خطوة بخطوة							
03	30	أمثلة لتمارين الكارديو	اشرح رياضة الكارديو	ما هي أنواع رياضة الكارديو الرئيسة؟	كيف اتعلم رياضة الكارديو؟	أمثلة على رياضة الكارديو	ما هي رياضات الكارديو المختلفة؟	أمثلة لرياضة الكارديو	أنواع التمارين الهوائية	أنواع وأمثلة على الرياضات الهوائية	ما هي أنواع رياضة الكارديو؟	اريد مواقع لتعلم الكارديو بنوعيها	ما هي أنواع الكارديو الشائعة؟	ما هما النوعين الأساسيين لرياضة الكارديو؟	ما هي الأنواع الرئيسية لرياضة الكارديو؟	أنواع رياضة الكارديو	ما هي أنواع رياضة الكارديو مع أمثلة	أنواع الرياضات الهوائية المنتظمة والمتغيرة من ناحية الشدة HIT	أخبرني أكثر عن نوعي رياضة الكارديو الرئيسين	تعليم رياضة الكارديو بالصوت والصورة	ما هي تمارين الكارديو التي يمكن ممارستها في البيت؟	ما هو الفارق بين الكارديو بالسرعة المنتظمة وال HIT؟	أنواع تمارين الكارديو	أعطني جدول تفصيلي لرياضة الكارديو مع أمثلة وشرح الفروق	أنواع الرياضات الهوائية												
04	32	المخاطر الصحية عند الإكثار من شرب القهوة	مضار الإكثار من تناول القهوة	التبعات السلبية لكثرة شرب القهوة	ما هي الاضرار والمخاطر المترتبة على كثرة شرب القهوة؟	اذكر لي سيئات شرب القهوة بشكل متكرر خلال اليوم	ما هي أضرار كثرة شرب القهوة؟	ما هي الأضرار الجسمانية لكثرة شرب القهوة؟	أضرار القهوة	المضاعفات الصحية لشرب القهوة بكثرة	عواقب الإكثار من شرب القهوة	أضرار الإكثار من القهوة	أضرار ومخاطر  كثرة شرب القهوة؟	ما هي المشاكل المرتبطة بشرب القهوة الكثير	ما هي مخاطر شرب القهوة بكثرة؟	تأثير شرب القهوة بكثرة على النوم والقلق	الحد الصحي لاستهلاك القهوة يوميا	كثرة شرب القهوة وأضرارها على الصحة	الأعراض المصاحبة للإفراط في شرب القهوة	هل كثرة القهوة مضرة	ما نتائج  كثرة شرب القهوة السلبية والخطيرة؟	ما هي أضرار الإسراف في شرب القهوة	أضرار كثرة شرب القهوة بكل أنواعها	هل هناك مخاطر صحية على الأشخاص الذين يشربون القهوة بكثرة؟	المخاطر الصحية لكثرة استهلاك القهوة	تأثير كثرة شرب القهوة على الصحة	السلبيات الصحية لكثرة تناول القهوة	هل الزيادة في شرب القهوة مضرة؟	تأثير إدمان شرب القهوة على الصحة	المخاطر الصحية الناتجة عن الإفراط في تناول القهوة	علامات التحذير والآثار الجانبية للإفراط بتناول القهوة	التأثير السلبي لتناول جرعات عالية من الكافيين					
05	34	الأدلة العلمية على إمكانية الحياة في كوكب المريخ	أدلة على الحياة على كوكب المريخ	عوامل الحياة على المريخ أبحاث دراسات	هل هناك دلائل على وجود حياة على كوكب المريخ؟	هل هناك احد يعيش في المريخ؟	هل توجد مظاهر حياة على كوكب المريخ؟	هل توجد حياة على المريخ؟	دراسات حول توفر العناصر الحيوية على سطح المريخ	قابلية السكن في المريخ	هل الحياة ممكنة على المريخ	هل يمكننا العيش على المريخ؟ ما هي الدلائل؟	هل الاكل والشرب متواجد في المريخ؟	نظريات الحياة على كوكب المريخ	استكشاف مياه على كوكب المريخ	هل المريخ مناسب لعيش الإنسان؟	إمكانية عيش الإنسان على سطح المريخ	ما علامات الحياة على المريخ (الميكروبية والبشرية)	أدلة على وجود ممكنات الحياة على المريخ	هل يمكن للانسان العيش على المريخ؟ ما الدليل؟	هل هناك امكانية للعيش على المريخ؟	هل يمكن أن يعيش الإنسان على كوكب المريخ؟	هل يمكن التنفس على سطح المريخ؟	هل يوجد ماء وهواء على كوكب المريخ؟	لماذا يستطيع الإنسان العيش على سطح المريخ؟	ما موارد الحياة المتاحة على سطح المريخ	لماذا نستطيع العيش في المريخ؟	ما إمكانية إمكانية عيش الإنسان على المريخ	إمكانية عيش الإنسان على المريخ								
06	37	المخاطر الصحية المحتملة للمحاصيل المعدلة وراثيا على الإنسان	هل المحاصيل المعدلة وراثيًا آمنة؟	هل التعديل الوراثي على المحاصيل مضر	هل المحاصيل المعدلة وراثيا امنة؟	ما تأثير الاكل المعدل وراثيا على صحتنا؟	أمن المحاصيل المعدلة وراثيا	ما تأثير المحاصيل المعدلة وراثيا على صحة الانسان؟	امن المحاصيل المعدلة وراثيا	هل الخضر والفواكه معدلة وراثيا آمنة صحيا؟	سلامة الأغذية المعدلة وراثيًا صحيًا للإنسان	ضرر التعديل الوراثي على المحاصيل	ما  مدى امن المحاصيل المعدلة؟	هل أكل الفواكه والخضار المعدلة وراثيا آمن صحيا؟	هل المحاصيل المعدلة وراثيا آمنة؟	هل للمحاصيل المعدلة وراثيا ضررا على البيئة؟	تأثير المحاصيل المعدلة وراثيا على الصحة والبيئة	الدراسات الطبية حول سلامة استهلاك المحاصيل المعدلة وراثيا	الآثار الصحية للمحاصيل المعدلة وراثيًا	التعديل الوراثي أثره الإنسان البيئة	مدى امن المحاصيل الزراعية المعدلة وراثيا  صحيا للأنسان و بيئيا؟	اظهر لي الاضرار المحتملة من اكل الخضار المعدل وراثيا	هل المحاصيل المعدلة وراثيا صحية؟	هل المحاصيل المعدلة وراثيا امنه؟	التأثير المباشر أو غير المباشر للمحاصيل المعدلة وراثيا على الصحة والبيئة	التأثير البيئي للمحاصيل المعدلة وراثيًا	أمان الأكل المعدل وراثياً	تقييم مخاطر المحاصيل المعدلة وراثيًا على الصحة والبيئة									
07	38	مسببات هشاشة العظام	ما أسباب هشاشة العظام لدى الإنسان بمختلف مراحل العمر	العوامل المسببة لهشاشة العظام	ما هي اسباب هشاشة العظام؟	لماذا يحدث هشاشة العظام؟	أسباب هشاشة العظام	ما هي أبرز الاسباب التي تؤدي إلى هشاشة العظام؟	ما هي أسباب هشاشة العظام؟	آثار هشاشة العظام وأعراضه	هشاشة العظام أسباب	ما هي عوامل و اسباب هشاشة العظام؟	ما هي العوامل المسببة لهشاشة العظام؟	أكثر الأشياء المسببة لهشاشة العظام	لماذا يصاب الإنسان بهشاشة العظام؟	أسباب قلة كثافة العظام وطرق العلاج	سبب الإصابة بهشاشة العظام	اسباب هشاشة العظام	أريد معرفة اسباب لهشاشة العظام؟	العوامل المؤدية لهشاشة العظام	التقدم في العمر من أسباب هشاشة العظام	العناصر الغذائية التي يؤدي نقصها إلى هشاشة العظام	كيف نعرف أننا مصابون بهشاشة العظام؟ وكيف نعالجه؟	كيفية الوقاية من هشاشة العظام													
08	40	تعريف الذكاء الاجتماعي	ماهو الذكاء الاجتماعي	ما هو  الذكاء الاجتماعي؟	عرف لي الذكاء الاجتماعي باختصار	ما هو تعريف الذكاء الاجتماعي أو العاطفي؟	ماهو تعريف الذكاء الاجتماعي؟	مفهوم الذكاء الاجتماعي	شرح معنى الذكاء الاجتماعي وأنواعخ	الذكاء الاجتماعي	اريد تعريف الذكاء العاطفي ببضع كلمات	هل الذكاء العاطفي هو الذكاء الاجتماعي؟	تعريف الذكاء العاطفي	المقصود بالذكاء الاجتماعي	الفرق بين الذكاء الاجتماعي والذكاء العاطفي من حيث التعريف والأنواع	ماهية الذكاء الاجتماعي	تعريف  الذكاء الاجتماعي	اريد تعريف الذكاء الاجتماعي ببضع كلمات	ما هو مفهوم الذكاء الاجتماعي أو العاطفي؟	ماهو نوع الذكاء المتعلق بالعلاقات مع الناس؟	ما هو الفارق بين الذكاء الاجتماعي والعاطفي؟	معنى مصطلح الذكاء الاصطناعي ومكوّناته الأساسية															
09	46	التأثيرات الإيجابية والسلبية للألعاب الإلكترونية على الأطفال	الآثار الإيجابية والسلبية للألعاب الإلكترونية على الأطفال	أطفال أثر سلبي إيجابي ألعاب إلكترونية	ما تأثير الألعاب الإلكترونية على الأطفال؟	ما هي اضرار اللعب الالكتروني على الأولاد؟	الألعاب الإلكترونية للأطفال ما بين مؤيد ومعارض	تأثير الألعاب الالكترونية على الأطفال	فوائد وأضرار الألعاب الإلكترونية على الأطفال	أضرار وفوائد الألعاب الإلكترونية للأطفال من جميع الجوانب	تأثير الألعاب الإلكترونية على الأطفال	ما هو تأثير الألعاب الإلكترونية على الأطفال؟	ما هي مساوئ اللعب الالكتروني على الاطفال	ما هي الجوانب السلبية للألعاب الإلكترونية على الأطفال؟	ما هي ايجابيات الألعاب الالكترونية على النمو العقلي للطفل؟	دراسات علمية لتأثير الألعاب الالكترونية على الأطفال	تجارب علمية حول تأثير الألعاب الإلكترونية على الأطفال	دراسات حول تأثير الألعاب الإلكترونية على سلوك الأطفال وتطورهم	فوائد ومضار الألعاب الالكترونية	تأثير الألعاب الإلكترونية على الأطفال؟	كيف يؤثر اللعب الالكتروني على حياة الاطفال	هل للألعاب الإلكترونية تأثير سلبي على الأطفال؟	ضرر الألعاب الالكترونية على الجانب الاجتماعي للاطفال	تقليل الأضرار الجانبية للألعاب الاكترونية على الأطفال	تأثير الألعاب الإلكترونية على المستوى الدراسي للطفل	حلول وتجارب للتخفيف من آثار الألعاب الإلكترونية السلبية على الأطفال	كيف نتجنب الجوانب السلبية للألعاب الإلكترونية على الأطفال؟	تأثير الألعاب الاكترونية على تركيز الأطفال والتحصيل الدراسي	التأثير النفسي والجسدي والاجتماعي والعقلي والعلمي للألعاب الالكترونية على الأطفال								
10	47	الآثار الاجتماعية والنفسية لهوس الماركات في المجتمعات العربية	هوس العلامات التجارية الباهضة وتأثيره السلبي على المجتمع العربي	التأثير السلبي لهوس الناس بالماركات العالمية	ما هو هوس الماركات وتأثيره على المجتمع؟	ما هو تأثير ادمان التسوق على مجتمعاتنا	ظاهرة تتبع العلامات التجارية المشهورة	ماهو تأثير الهوس بالماركات على الإنسان؟	تأثير افتتان الماركات في الدول العربية	أكثر الفئات العمرية تأثراً بهوس العلامات التجارية في الوطن العربي	ظاهرة التفاخر بالماركات في الوطن العربي وآثارها	أثر الهوس بالعلامات التجارية على المجتمع	هوس الماركات وتأثيره على المجتمع	ما هي نتائج هوس الماركات على الناس في بلادنا	ما هي أكثر الفئات التي تتأثر بهوس الماركات؟	تأثير افتتان الماركات في الدول العربية على كل فئات المجتمع	تحليل ظاهرة هوس العرب بالماركات العالمية	هوس الاستهلاك للماركات لدى الشباب العربي	سلبيات الهوس بالماركات	أخبرني أكثر عن هوس الماركات وتأثيره على المجتمع	ما هي أضرار هوس الماركات في بلادنا	الهوس بالعلامات التجارية وأثرها على المجتمع	هل الهوس بالماركات منتشر في الوطن العربي؟	تحليل ودراسة ظاهرة افتتان شراء الماركات في الدول العربية	هوس البراندات في الوطن العربي	دراسات واستبيانات عن وعي المجتمع العربي بهوس الماركات والفئات الأكثر تأثرًا	سلبيات الاهتمام الزائد بالماركات على المجتمع	هوس الماركات في الوطن العربي	آراء وتجارب المجتمع حول الاهتمام المفرط بالماركات								
