topic_id	ArTest_topic_id	query_1	query_2	query_3	query_4	query_5	query_6	query_7	query_8	query_9	query_10
01	01	إيه تأثير الجواز المبكر على الأسرة؟	هو الجواز بدري ليه تأثير على نفسية البنت؟	ايه تأثير الزواج المبكر على الشباب والبنات؟	هل جواز البنت أو الولد بدري ليه تأثير سلبي؟	ايه أهم الحاجات الإيجابية للجواز بدري؟	هل الجواز بدري كويس ولا وحش؟	إيه مشاكل الجواز المبكر	هل إيجابيات الجواز البدري بتزيد لو كان عن حب؟	ايه سن الجواز المبكر في المدينة مقارنة بالأرياف؟	التأثير السلبي للجواز المبكر
02	07	وصفات لأكلات إيطالية	ايه الحلويات المشهورة في المطبخ الإيطالي؟	وصفات أكل إيطالي	وصفات طبيخ إيطالية	طريقة تحضير المكرونة الإيطالي بالصلصة	طريقة عمل حلويات إيطالي	طريقة عمل أكلات إيطالية	ايه هي اهم الاكلات في المطبخ الإيطالي	وصفات من المطبخ الإيطالي	
03	30	إيه أنواع الكارديو؟	عايز أمثلة لتمارين كارديو	ايه هي رياضات الكارديو؟	تمارين كارديو	ايه هما النوعين بتوع الكارديو؟	الفرق بين تمارين الكارديو زي المشي و ال HIT	أشهر أنواع الكارديو	ايه هي تمارين الكارديو اللي اقدر اعملها في البيت؟	أنواع الكارديوالمختلفة	
04	32	إيه مخاطر شرب القهوة كتير؟	ايه هي اضرار شرب القهوة الكتير على الجسم؟	أضرار شرب القهوة	هل شرب القهوة كتير له مخاطر؟	ايه تأثير شرب القهوة الكتير على النوم والقلق	كام فنجان قهوة في اليوم يعتبر صحي؟	إيه خطورة إدمان شرب القهوة	هو فيه مشاكل صحية ممكن تواجه الناس اللي بتشرب قهوة كتير؟	مشاكل شرب القهوة كتير	
05	34	هل ممكن نعيش في المريخ؟	هو فيه حاجات بتدل على ان فيه حياة على المريخ؟	هو فيه حياة على المريخ؟	هل في حياة على المريخ؟	استكشاف مية على كوكب المريخ	هل المريخ مناسب لعيش البني ءادمين؟	هل يقدر الإنسان يعيش في المريخ؟	الانسان ينفع يتنفس على المريخ؟	المريخ مياة أكسجين	
06	37	المحاصيل المعدلة وراثيا صحية؟	ايه تأثير المحاصيل المعدلة وراثيا على صحة الانسان؟	هل المحاصيل المعدلة وراثيا آمنة؟	هل محاصيل الجينات آمنة؟	هي المحاصيل الزراعية المعدلة وراثيا بتضر البيئة؟	تأثير المحاصيل المعدلة وراثيا على الصحة والبيئة	هل المحاصيل المعدلة وراثيا كويسة صحيا؟	هي المحاصيل المعدلة وراثيا امنة؟	التأثير المباشر أو غير المباشر للمحاصيل المعدلة وراثيا على الصحة والبيئة	
07	38	أسباب هشاشة العظام	ايه هي اكتر الأسباب اللي بتسبب هشاشة العظام؟	إيه أسباب هشاشة العظام؟	اسباب هشاشة العظام	ايه أكتر حاجة بتجيب هشاشة عظام؟	ليه بيحصل هشاشة العظام للكبار؟	كبر السن من اسباب هشاشة العظام	مسببات هشاشة العظام		
08	40	إيه تعريف الذكاء الاجتماعي أو العاطفي؟	ايه هو الذكاء الاجتماعي	الذكاء الاجتماعي	إيه مفهوم الذكاء الاجتماعي؟	هو الذكاء العاطفي نفسه هو الذكاء الاجتماعي؟	الذكاء العاطفي	بعني إيه ذكاء اجتماعي أو عاطفي؟	ايه نوع الذكاء اللي ليه علاقه بالعلاقات مع الناس؟	ايه الفرق بين الذكاء الاجتماعي والعاطفي؟	
09	46	إيه تأثير اللعب الإلكترونية على الأطفال؟	هل الألعاب الإلكترونية مفيدة للأطفال ولا ليها أضرار؟	الألعاب الالكترونية للأطفال حلوة ولا وحشة	هل إدمان اللعب الإلكترونية للأطفال مؤذي؟	ايه هي فوايد الألعاب الإلكترونية على تفكير الاطفال؟	تأثير الفيديو جيمز على الاطفال	إزاي ممكن نتجنب سلبيات اللعب الإلكترونية على الأطفال؟	ضرر الألعاب الإلكترونية على الحياة الاجتماعية للاطفال	هل فيه دراسات علمية لتأثير الفيديو جيمز على الأطفال؟	
10	47	ظاهرة تتبع الماركات المشهورة	ايه هو تأثير الهوس بالماركات على الناس؟	تأثير هوس الماركات في الدول العربية	إيه أثر الهوس بالماركات على المجتمع؟	مين هما اكتر ناس عندهم هوس بالماركات؟	تأثير هوس الماركات في الدول العربية على كل شرايح المجتمع	إزاي الهوس باالماركات ممكن يكون ضار بالمجتمع؟	هو الهوس بالماركات منتشر في البلاد العربية؟	دراسة ظاهرة هوس شراء الماركات في الدول العربية	
