topic_id	ArTest_topic_id	query_1	query_2	query_3
01	01	هل في هناك تأثير الجواز المبكر على الشباب والبنات؟	شو هي ايجابيات الجواز المبكر للشباب والبنات؟	شو هي سلبيات الجواز المبكر للشباب والبنات؟
02	07	بدي وصفات لأكل ايطالي حلو او مالح مع مقادير وطريقة التحضير وصور خطوة بخطوة	وصفات اكل ايطالي مشهور طبيخ او حلويات	وصفات طبيخ ايطالي او حلو مع المكونات وطريفة التحضير
03	30	شو هم أنواع رياضة الكارديو؟	شو هي رياضة الكاريدو وايش انواعها؟	ايش انواع تمارين الكارديو الاساسيات؟
04	32	شو هي اضرار شرب القهوة الكثير؟	ايش هي اضرار شرب القهور الكثير؟	مصايب شرب القهوة الكثير؟
05	34	ممكن للناس تعيش عالمريخ؟	هل المريخ بيصلح للعيشة البشرة؟	في أدلة انه ممكن الانسان يعيش عالمريخ؟
06	37	المحاصل المعدلة وراثيا هل هي امنة للانسان؟	هل فعلا المحاصيل المعدلو وراثيا آمنة للانسان؟	شو مخاطر المحاصل المعدلة وراثيا؟
07	38	شو هي اسباب هشاشة العظام؟	ايش اسباب هشاشة العظام؟	شو عوامل هشاشة العظام؟
08	40	ايش هو  الذكاء الاجتماعي؟	ايش تعريف  الذكاء الاجتماعي؟	شو الذكاء الاجتماعي؟
09	46	شو تأثير الألعاب الإلكترونية على الأطفال؟	شو هو تأثير الألعاب الإلكترونية على الصغار؟	شو بتعمل الألعاب الإلكترونية على الصغار؟
10	47	شو هو هوس الماركات وتأثيره على المجتمع؟	شو بيعمل هوس الماركات بالمجتمع؟	هوس الماركات وتأثيره على الناس
