topic_id	ArTest_topic_id	query_1	query_2	query_3	query_4	query_5	query_6
01	01	كيف بدي اعرف اذا تزوجت بكير كويس لالي ولا لاء	شو هي سيئات وحسنات الزواج المبكر	بدي امثلة عن حالات ناجحة لناس تزوجوا بكير وكمان حالات فاشلة	هل الناس في مجتمعنا تدعم ام تحارب الزواج المبكر	اشو هي احسن طريقة لاتزوج بكير من دون مع اتقاتل مع يلي حوالي	اشو هي الشغلات الايجابية والمشاكل يلي ممكن تصير معي اذا تزوجت بكير
02	07	بدي طريقة تحضير كم طبخة ايطالية بالتفصيل الممل	كيف بدي اعمل كم طبق ايطالي طيب على اصوله	عطيني وصفة لاحسن واطيب الطبخات ايطالية	بدي موقع فيه وصفات إيطالية، أكلات مالحة أو حلويات، ويا ريت يكون فيه صور لخطوات الطبخ	بدي مقالات طبخ إيطالي تحكي عن الأكلة وتذكر المقادير وكيف تنعمل بالتفصيل..	علواه تورجيني مواقع بتعلمني وصفات لاكلات ايطالية
03	30	شو هي انواع الكارديو	كيف بدي العب كارديو صح	ورجيني مواقع لناس بتعلم الكارديو بانواعها من الصفر			
04	32	بدي اعرف المشاكل اذا شربت قهوة كتير	شو هن اضرار الاسراف في شرب القهوة	عددلي سيئات شرب القهوة كل كم ساعة			
05	34	هل في عيشة عل المريخ	هل في اكل وشرب بالمريخ	في حدا عايش بالمريخ	هل مظبوط انه منحسن نعيش بالمريخ		
06	37	هل الاكلات الملعوب فيها وراثيا بتاثر على صحتنا	هل عادي ناكل الخضرة والفواكه المعدلة وراثيا	ورجيني اضرار اكل الخضار الملعوب بجيناتها			
07	38	ليش عبصير عنا هشاشة بالعظام	شو هي العوامل يلي بتخلي معي هشاشة بالعظام	بدي اعرف الشغلات يلي بتسبب هشاشة بالعظام			
08	40	عرفلي الذكاء العاطفي باختصار	عرفلي الذكاء الاجتماعي بكم كلمة نضاف	لخصلي الذكاء الاجتماعي بكلمتين نضاف			
09	46	اشو هي اضرار اللعب الالكتروني عالولاد	شو هي مساوئ اللعب الالكتروني على العجيان	كيف باثر اللعب الالكتروني على حياة الاولاد الصغار			
10	47	شو تأثير ادمان التسوق عمجتمعاتنا	اشو هي نتائج هوس الروحة عالسوق عالناس عنا	اشو هي اضرار هوس الروحة عالسوق في بلادنا			
